Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
GRCh38_ENSG00000238009,GRCh38_AL627309.1,0.005064032378535463,0.3516140595505757,0.8944065278025923,0.0033085463603361024,-0.3516140595505757,0.8944065278025923
GRCh38_ENSG00000239945,GRCh38_AL627309.3,0.0,-1.38535153461563,0.6507236281806654,0.0016542731801680512,1.38535153461563,0.6507236281806651
GRCh38_ENSG00000237491,GRCh38_AL669831.5,0.05443834806925622,-0.09584491742064571,1.0,0.057899561305881794,0.09584491742064571,1.0
GRCh38_ENSG00000177757,GRCh38_FAM87B,0.0,-1.38535153461563,0.6507236281806654,0.0016542731801680512,1.38535153461563,0.6507236281806651
GRCh38_ENSG00000225880,GRCh38_LINC00115,0.03418221855511437,0.2520783859996616,0.8692213789475651,0.02812264406285687,-0.2520783859996616,0.8692213789475651
GRCh38_ENSG00000230368,GRCh38_FAM41C,0.02911818617657891,0.1996109661055252,0.9445550685262314,0.024814097702520767,-0.1996109661055252,0.9445550685262317
GRCh38_ENSG00000230699,GRCh38_AL645608.3,0.0,-1.38535153461563,0.6507236281806654,0.0016542731801680512,1.38535153461563,0.6507236281806651
GRCh38_ENSG00000241180,GRCh38_AL645608.5,0.0,-1.38535153461563,0.6507236281806654,0.0016542731801680512,1.38535153461563,0.6507236281806651
GRCh38_ENSG00000188976,GRCh38_NOC2L,0.28864984557652135,0.47657232998139754,0.17692919387542877,0.2067841475210064,-0.47657232998139754,0.1769291938754286
GRCh38_ENSG00000187961,GRCh38_KLHL17,0.01772411332487412,-0.06342343972826825,1.0,0.018197004981848564,0.06342343972826825,1.0
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,0.0037980242839015968,0.02968596466321305,1.0,0.0033085463603361024,-0.02968596466321305,1.0
GRCh38_ENSG00000272512,GRCh38_AL645608.8,0.0012660080946338657,-2.8447831532529273,0.008710686121445608,0.01654273180168051,2.8447831532529273,0.008710686121445608
